Year,Month,State,Type of producer,Energy source,Consumption
2019,1,AK,Total Electric Power Industry,Coal (Short Tons),61073
2019,1,AK,Total Electric Power Industry,Natural Gas (Mcf),2673540
2019,1,AK,Total Electric Power Industry,Petroleum (Barrels),115301
2019,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),26836
2019,1,AK,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),4740
2019,1,AK,"Combined Heat and Power, Commercial Power",Coal (Short Tons),3330
2019,1,AK,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),0
2019,1,AK,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),1161
2019,1,AK,"Combined Heat and Power, Electric Power",Coal (Short Tons),14119
2019,1,AK,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2019,1,AK,"Electric Generators, Independent Power Producers",Petroleum (Barrels),351
2019,1,AK,"Electric Generators, Electric Utilities",Coal (Short Tons),43624
2019,1,AK,"Electric Generators, Electric Utilities",Natural Gas (Mcf),2646704
2019,1,AK,"Electric Generators, Electric Utilities",Petroleum (Barrels),109049
2019,1,AL,Total Electric Power Industry,Coal (Short Tons),1554863
2019,1,AL,Total Electric Power Industry,Natural Gas (Mcf),27848195
2019,1,AL,Total Electric Power Industry,Other Gases (Billion Btu),1
2019,1,AL,Total Electric Power Industry,Petroleum (Barrels),6439
2019,1,AL,"Combined Heat and Power, Industrial Power",Coal (Short Tons),1249
2019,1,AL,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),660574
2019,1,AL,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),1
2019,1,AL,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),616
2019,1,AL,"Combined Heat and Power, Electric Power",Coal (Short Tons),0
2019,1,AL,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),1560653
2019,1,AL,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),14805668
2019,1,AL,"Electric Generators, Independent Power Producers",Petroleum (Barrels),269
2019,1,AL,"Electric Generators, Electric Utilities",Coal (Short Tons),1553614
2019,1,AL,"Electric Generators, Electric Utilities",Natural Gas (Mcf),10821300
2019,1,AL,"Electric Generators, Electric Utilities",Petroleum (Barrels),5554
2019,1,AR,Total Electric Power Industry,Coal (Short Tons),1627319
2019,1,AR,Total Electric Power Industry,Natural Gas (Mcf),9888384
2019,1,AR,Total Electric Power Industry,Petroleum (Barrels),9473
2019,1,AR,"Combined Heat and Power, Industrial Power",Coal (Short Tons),1307
2019,1,AR,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),152239
2019,1,AR,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),369
2019,1,AR,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),30349
2019,1,AR,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),643048
2019,1,AR,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2019,1,AR,"Electric Generators, Independent Power Producers",Coal (Short Tons),136819
2019,1,AR,"Electric Generators, Independent Power Producers",Petroleum (Barrels),4832
2019,1,AR,"Electric Generators, Electric Utilities",Coal (Short Tons),1489193
2019,1,AR,"Electric Generators, Electric Utilities",Natural Gas (Mcf),9062748
2019,1,AR,"Electric Generators, Electric Utilities",Petroleum (Barrels),4272
2019,1,AZ,Total Electric Power Industry,Coal (Short Tons),1209095
2019,1,AZ,Total Electric Power Industry,Natural Gas (Mcf),21917743
2019,1,AZ,Total Electric Power Industry,Petroleum (Barrels),9688
2019,1,AZ,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),54025
2019,1,AZ,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),2
2019,1,AZ,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),5377
2019,1,AZ,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2019,1,AZ,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),4107280
2019,1,AZ,"Electric Generators, Electric Utilities",Coal (Short Tons),1209095
2019,1,AZ,"Electric Generators, Electric Utilities",Natural Gas (Mcf),17751061
2019,1,AZ,"Electric Generators, Electric Utilities",Petroleum (Barrels),9686
2019,1,CA,Total Electric Power Industry,Coal (Short Tons),5220
2019,1,CA,Total Electric Power Industry,Geothermal (Billion Btu),8732
2019,1,CA,Total Electric Power Industry,Natural Gas (Mcf),53509654
2019,1,CA,Total Electric Power Industry,Other Gases (Billion Btu),515
2019,1,CA,Total Electric Power Industry,Petroleum (Barrels),6247
2019,1,CA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),5220
2019,1,CA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),5880800
2019,1,CA,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),515
2019,1,CA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),154
2019,1,CA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),850196
2019,1,CA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),72
2019,1,CA,"Combined Heat and Power, Electric Power",Coal (Short Tons),0
2019,1,CA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),7169128
2019,1,CA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2019,1,CA,"Electric Generators, Independent Power Producers",Geothermal (Billion Btu),8128
2019,1,CA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),21669452
2019,1,CA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),772
2019,1,CA,"Electric Generators, Electric Utilities",Geothermal (Billion Btu),603
2019,1,CA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),17940078
2019,1,CA,"Electric Generators, Electric Utilities",Other Gases (Billion Btu),0
2019,1,CA,"Electric Generators, Electric Utilities",Petroleum (Barrels),5249
2019,1,CO,Total Electric Power Industry,Coal (Short Tons),1480741
2019,1,CO,Total Electric Power Industry,Natural Gas (Mcf),9980342
2019,1,CO,Total Electric Power Industry,Petroleum (Barrels),3366
2019,1,CO,"Combined Heat and Power, Industrial Power",Coal (Short Tons),352
2019,1,CO,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),29567
2019,1,CO,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),35
2019,1,CO,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),6735
2019,1,CO,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
2019,1,CO,"Combined Heat and Power, Electric Power",Coal (Short Tons),0
2019,1,CO,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),79854
2019,1,CO,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2019,1,CO,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),1019738
2019,1,CO,"Electric Generators, Independent Power Producers",Petroleum (Barrels),0
2019,1,CO,"Electric Generators, Electric Utilities",Coal (Short Tons),1480389
2019,1,CO,"Electric Generators, Electric Utilities",Natural Gas (Mcf),8844448
