YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,CONSUMPTION
2020,1,WY,Total Electric Power Industry,Coal (Short Tons),1729422
2020,1,AK,Total Electric Power Industry,Natural Gas (Mcf),2465757
2020,1,AK,Total Electric Power Industry,Petroleum (Barrels),196401
2020,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),17958
2020,1,AK,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),6063
2020,1,AK,"Combined Heat and Power, Commercial Power",Coal (Short Tons),1656
2020,1,AK,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),21
2020,1,AK,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),3002
2020,1,AK,"Combined Heat and Power, Electric Power",Coal (Short Tons),13388
2020,1,AK,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2020,1,AK,"Electric Generators, Independent Power Producers",Petroleum (Barrels),376
2020,1,AK,"Electric Generators, Electric Utilities",Coal (Short Tons),20843
2020,1,AK,"Electric Generators, Electric Utilities",Natural Gas (Mcf),2447778
2020,1,AK,"Electric Generators, Electric Utilities",Petroleum (Barrels),186960
2020,2,WY,Total Electric Power Industry,Coal (Short Tons),1627894
2020,1,AL,Total Electric Power Industry,Natural Gas (Mcf),2.95E+07
2020,1,AL,Total Electric Power Industry,Other Gases (Billion Btu),2
2020,1,AL,Total Electric Power Industry,Petroleum (Barrels),488
2020,1,AL,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2020,1,AL,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),646975
2020,1,AL,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),2
2020,1,AL,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),268
2020,1,AL,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),1236661
2020,1,AL,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),1.74E+07
2020,1,AL,"Electric Generators, Independent Power Producers",Petroleum (Barrels),156
2020,1,AL,"Electric Generators, Electric Utilities",Coal (Short Tons),1047225
2020,1,AL,"Electric Generators, Electric Utilities",Natural Gas (Mcf),1.02E+07
2020,1,AL,"Electric Generators, Electric Utilities",Petroleum (Barrels),64
2020,3,WY,Total Electric Power Industry,Coal (Short Tons),1752817
2020,1,AR,Total Electric Power Industry,Natural Gas (Mcf),1.23E+07
2020,1,AR,Total Electric Power Industry,Petroleum (Barrels),4105
2020,1,AR,"Combined Heat and Power, Industrial Power",Coal (Short Tons),795
