LICENSE_NBR,LIC_STATUS,BUSINESS_NAME,BUSINESS_NAME2,BUILDING,STREET,CITY,STATE,ZIP,SWC_TYPE,SWC_SQ_FT,SWC_TABLES,SWC_CHAIRS,DOHMH,LATITUDE,LONGITUDE,COMMUNITY_DISTRICT,CITY_COUNCIL_DISTRICT,CD_URL,APP_ID,APP_SWC_TYPE,APP_SQ_FT,APP_TABLES,APP_CHAIRS,APP_STATUS,APP_STATUS_DATE,EXPIRATION_DATE,APP_TOO_DATE,SUBMIT_DATE,INTAKE,INTAKE_DD,DPQA,SEND_PACKAGE_DD,CP,CP_DD,CB,CB_DD,HEARING,HEARING_DD,HEARING_PUBLIC,HEARING_PUBLIC_DD,CC,CC_DD,MOO,MOO_DD,ISSUANCE,ISSUANCE_DD
2090193-DCA,Active,PRINKIPAS LLC,LOLA TAVERNA,210,6TH AVE,NEW YORK,NY,10014,Unenclosed,335,16,32,50087425,40.7271914163051,-74.00320022819766,102,3,http://www.nyc.gov/manhattancb2,6711-2019-ASWC,Unenclosed,335,16,32,Application Review Completed,01/07/2020,09/15/2021,,06/06/2019,Ready For Review,06/06/2019,Approved,06/10/2019,,,Recommend Denial,07/24/2019,Recommendation On Hold,08/07/2019,SWC Public Hearing,07/31/2019,Approved,10/22/2019,Approved,01/07/2020,Issued,01/07/2020
1385278-DCA,Inactive,170 BEDFORD RESTAURANT LLC,THE MEATBALL SHOP,170,BEDFORD AVE,BROOKLYN,NY,11211,Unenclosed,52,3,6,41572590,40.71828510949827,-73.95749712335765,301,33,http://www.nyc.gov/brooklyncb1,35943-2019-RSWC,Unenclosed,52,3,6,Pending Review,12/23/2019,03/20/2020,03/20/2020,12/20/2019,Ready For Review,12/20/2019,Under Review,12/23/2019,Pending Review,12/20/2019,Review Period Expired,02/19/2020,Waived,02/19/2020,,,Review Period Expired,03/11/2020,Pending Review,,Pending Review,
1206030-DCA,Inactive,"ARRIBA ARRIBA MEXICAN RESTAURANTS, INC.",,762,9TH AVE,NEW YORK,NY,10019,Unenclosed,285,8,14,40380457,40.76408029420809,-73.98826414404846,104,3,http://www.nyc.gov/mcb4,35126-2019-RSWC,Unenclosed,285,8,14,Pending Review,03/05/2020,04/13/2020,04/13/2020,12/11/2019,Ready For Review,12/11/2019,Issued Temp Op Letter,12/12/2019,Pending Review,12/12/2019,Review Period Expired,02/13/2020,Waived,02/13/2020,,,Review Period Expired,03/05/2020,Pending Review,,Pending Review,
2023941-DCA,Active,"WEST SIDE STEAKHOUSE, LLC",WEST SIDE STEAKHOUSE,597,10TH AVE,NEW YORK,NY,10036,Unenclosed,148,4,12,41491955,40.76061966441794,-73.99503661535377,104,3,http://www.nyc.gov/mcb4,11292-2019-RSWC,Unenclosed,148,4,12,Application Review Completed,02/27/2019,04/15/2021,,02/25/2019,Ready For Review,02/25/2019,Approved,,Pending Review,02/25/2019,Pending Review,,Pending Review,,,,Pending Review,,Pending Review,,Issued,02/27/2019
2021840-DCA,Inactive,DAVIS AND DEVORE GROUP LLC,TEDDY'S BAR & GRILL,96,BERRY ST,BROOKLYN,NY,11249,Unenclosed,294,13,28,50033492,40.71939433206718,-73.95842715147104,301,33,http://www.nyc.gov/brooklyncb1,7917-2019-RSWC,Unenclosed,294,13,28,Application Review Completed,06/21/2019,12/15/2020,07/01/2019,02/12/2019,Ready For Review,02/12/2019,Approved,02/14/2019,,,Review Period Expired,04/10/2019,Waived,04/10/2019,,,Review Period Expired,05/01/2019,Approved,06/21/2019,Issued,06/21/2019
2082893-DCA,Active,INDEPENDENT OF 23RD STREET LLC,,158,E 23RD ST,NEW YORK,NY,10010,Small Unenclosed,111,3,12,41391327,40.73880339849198,-73.98395637618394,106,2,http://cbsix.org,18526-2018-ASWC,Small Unenclosed,111,3,12,Application Review Completed,05/28/2019,09/15/2021,,12/27/2018,Ready For Review,12/27/2018,Approved,12/28/2018,,,Review Period Expired,03/06/2019,Recommendation Issued,03/06/2019,SWC Public Hearing,02/13/2019,Review Period Expired,03/27/2019,Approved,10/07/2019,Issued,05/28/2019
2026141-DCA,Active,"SOUTH VILLAGE HOSPITALITY GROUP, LLC",CARROLL PLACE,157,BLEECKER ST,NEW YORK,NY,10012,Unenclosed,66,2,8,50007103,40.72869558696449,-73.99979073571018,102,1,http://www.nyc.gov/manhattancb2,17309-2019-RSWC,Unenclosed,66,2,8,Application Review Completed,04/09/2019,04/15/2021,,04/09/2019,Ready For Review,04/09/2019,Approved,,,,,,,,,,,,,,Issued,04/09/2019
1282959-DCA,Inactive,"NANOOSH BROADWAY, LLC",,2012,BROADWAY,NEW YORK,NY,10023,Unenclosed,143,6,12,41318698,40.775898327236284,-73.98195079792173,107,6,http://www.nyc.gov/mcb7,12227-2018-RSWC,Unenclosed,143,6,12,Application Review Completed,06/26/2019,09/15/2020,,09/04/2018,Ready For Review,09/04/2018,Approved,09/06/2018,,,Review Period Expired,11/01/2018,Waived,11/01/2018,,,Review Period Expired,11/22/2018,Approved,06/26/2019,Issued,06/26/2019
1145512-DCA,Inactive,COFFEE PLACE CORP.,SUNFLOWER CAFE,1223,QUENTIN RD,BROOKLYN,NY,11229,Unenclosed,405,11,22,40731196,40.608253479541084,-73.96045197386786,315,48,http://www.nyc.gov/brooklyncb15,35704-2019-RSWC,Unenclosed,405,11,22,Pending Review,01/13/2020,04/13/2020,04/13/2020,12/18/2019,Ready For Review,12/18/2019,Issued Temp Op Letter,12/18/2019,Pending Review,12/18/2019,Review Period Expired,02/13/2020,Waived,02/13/2020,,,Review Period Expired,03/05/2020,Pending Review,,Pending Review,
1420350-DCA,Active,"EAST SIDE BURGERS, LLC",BAREBURGER,1370,1ST AVE,NEW YORK,NY,10021,Unenclosed,326,9,20,41640145,40.76846104905872,-73.95526651417556,108,5,http://www.cb8m.com/,33520-2018-RSWC,Unenclosed,326,9,20,Application Review Completed,01/09/2020,12/15/2022,,12/26/2018,Ready For Review,12/26/2018,Approved,12/26/2018,,,Review Period Expired,02/13/2019,Waived,02/13/2019,,,Review Period Expired,03/06/2019,Approved,01/09/2020,Issued,01/09/2020
2034028-DCA,Inactive,GG33 CORP,LEFKOS PYRGOS,3302,DITMARS BLVD,ASTORIA,NY,11105,Unenclosed,446,16,32,50044186,40.775285075089755,-73.90951651031338,401,22,http://www.nyc.gov/html/qnscb1/html/home/home.shtml,34299-2018-RSWC,Unenclosed,446,16,32,Application Review Completed,05/02/2019,12/15/2020,,12/31/2018,Ready For Review,12/31/2018,Approved,12/31/2018,,,Recommend Approval,01/14/2019,Waived,02/21/2019,,,Review Period Expired,03/14/2019,Approved,05/02/2019,Issued,05/02/2019
0959237-DCA,Inactive,"MOHECO, INC.",,3290,36TH ST,ASTORIA,NY,11106,Unenclosed,289,11,26,40561796,40.75804664182561,-73.92259222843202,401,22,http://www.nyc.gov/html/qnscb1/html/home/home.shtml,17932-2019-RSWC,Unenclosed,289,11,26,Pending Review,12/30/2019,03/31/2020,03/31/2020,04/16/2019,Ready For Review,04/16/2019,Issued Temp Op Letter,04/16/2019,Pending Review,04/16/2019,Recommend Approval,05/30/2019,Pending Review,,SWC Public Hearing,06/05/2019,Pending Review,,Pending Review,,Pending Review,
1252802-DCA,Inactive,108 BAGEL CORP.,,108-01,ROCKAWAY BEACH DRIVE,QUEENS,NY,11694,Unenclosed,137,6,13,41042466,40.581852966354255,-73.82993248770484,414,32,http://www.queenscb14.org,2973-2020-RSWC,Unenclosed,137,6,13,Pending Review,02/10/2020,05/10/2020,05/10/2020,02/10/2020,Ready For Review,02/10/2020,Issued Temp Op Letter,02/10/2020,Pending Review,02/10/2020,Review Period Expired,04/07/2020,Waived,04/07/2020,,,Review Period Expired,04/28/2020,Pending Review,,Pending Review,
2055681-DCA,Active,CRC HOSPITALITY GROUP LLC,HANDCRAFT KITCHEN & COCKTAILS,200,E 27TH ST,NEW YORK,NY,10016,Unenclosed,106,5,10,50036313,40.7408972014366,-73.98104367868065,106,2,http://cbsix.org,17091-2019-RSWC,Unenclosed,106,5,10,Application Review Completed,06/29/2019,04/15/2021,,04/05/2019,Ready For Review,04/05/2019,Approved,04/05/2019,,,Recommend Approval,04/19/2019,Waived,04/25/2019,,,Review Period Expired,05/16/2019,,,Issued,06/29/2019
2006950-DCA,Inactive,GREEK TAVERNA LLC,TELLY'S TAVERNA,2811,23RD AVE,ASTORIA,NY,11105,Unenclosed,143,6,12,50000367,40.77546155401863,-73.91417025741428,401,22,http://www.nyc.gov/html/qnscb1/html/home/home.shtml,27131-2018-RSWC,Unenclosed,143,6,12,Application Review Completed,11/26/2018,12/15/2020,,11/09/2018,Ready For Review,11/19/2018,Approved,,,,,,,,,,,,,,Issued,11/26/2018
1314137-DCA,Active,451 GRAHAM AVENUE CORP.,,451,GRAHAM AVE,BROOKLYN,NY,11222,Unenclosed,421,15,30,41357064,40.71887006846956,-73.94526741463298,301,34,http://www.nyc.gov/brooklyncb1,16338-2019-RSWC,Unenclosed,421,15,30,Application Review Completed,09/10/2019,04/15/2021,,04/01/2019,Ready For Review,04/01/2019,Approved,04/09/2019,,,Review Period Expired,05/30/2019,Waived,05/30/2019,,,Review Period Expired,06/20/2019,Approved,09/10/2019,Issued,09/10/2019
2083477-DCA,Active,TIMONI INC,,548,LAGUARDIA PL,NEW YORK,NY,10012,Unenclosed,126,8,18,50073342,40.7290661174867,-73.99835834859815,102,1,http://www.nyc.gov/manhattancb2,875-2019-ASWC,Unenclosed,126,8,18,Application Review Completed,06/24/2019,04/15/2021,,01/28/2019,Ready For Review,01/28/2019,Approved,01/28/2019,,,Recommend Approval,03/20/2019,Recommendation Issued,03/20/2019,SWC Public Hearing,03/20/2019,Review Period Expired,04/11/2019,Approved,06/24/2019,Issued,06/24/2019
1356304-DCA,Inactive,OSTERIA LAGUNA L.L.C.,OSTERIA LAGUNA,209,E 42ND ST,NEW YORK,NY,10017,Small Unenclosed,155,3,12,40578252,40.75080980495498,-73.97375026821977,106,4,http://cbsix.org,30735-2018-RSWC,Small Unenclosed,155,3,12,Application Review Completed,03/20/2019,12/15/2020,,12/05/2018,Ready For Review,12/05/2018,Approved,12/05/2018,,,Review Period Expired,01/24/2019,Waived,01/24/2019,,,Review Period Expired,02/14/2019,Approved,03/20/2019,Issued,03/20/2019
