ZIP,% of County Population,Type,Primary City,Acceptable Cities,Unacceptable Cities,
11507,0.6%,Standard,Albertson,,,
11509,0.2%,Standard,Atlantic Beach,Atlantic Bch,,
11510,3%,Standard,Baldwin,"N Baldwin, North Baldwin",Baldwin Harbor,
11709,0.5%,Standard,Bayville,,,
11710,3%,Standard,Bellmore,"N Bellmore, North Bellmore",,
11714,2%,Standard,Bethpage,,,
11514,0.3%,Standard,Carle Place,,,
11516,0.6%,Standard,Cedarhurst,,,
11554,3%,Standard,East Meadow,,E Meadow,
11732,0.3%,Standard,East Norwich,,"E Norwich, Muttontown, Upper Brookville",
11518,0.8%,Standard,East Rockaway,,E Rockaway,
11003,3%,Standard,Elmont,"Alden Manor, Floral Park, Meacham","Argo Village, Locustwood",
11735,2%,Standard,Farmingdale,"S Farmingdale, South Farmingdale","E Farmingdale, East Farmingdale",
11001,2%,Standard,Floral Park,"Bellerose Vil, Bellerose Village, S Floral Park, South Floral Park","Bellerose Terrace, Bellrose Village, So Floral Park",
11010,2%,Standard,Franklin Square,Franklin Sq,,
11520,3%,Standard,Freeport,,,
11530,2%,Standard,Garden City,"Garden City S, Garden City South, Stewart Manor","Mitchell Field, Roosevelt Field",
11542,2%,Standard,Glen Cove,,,
11545,0.9%,Standard,Glen Head,,"Brookville, Muttontown, Old Brookville, Roslyn Harbor, Upper Brookville",
11547,0.1%,PO Box,Glenwood Landing,Glenwood Lndg,,
11020,0.4%,Standard,Great Neck,Lake Success,"Great Nk, Grt Neck, Gt Neck, University Gardens",
11021,1%,Standard,Great Neck,"Great Nck Plz, Great Neck Plaza","Allenwood, Great Neck Estates, Kensington, Russell Gardens, Saddle Rock Estates, Thomaston",
11023,0.7%,Standard,Great Neck,,"Harbor Hills, Old Village, Saddle Rock",
11024,0.6%,Standard,Great Neck,Kings Point,"Kenilworth, Usmma",
11548,0.2%,Standard,Greenvale,,"Brookville, E Hills, East Hills, Old Brookville, Roslyn Harbor",
11550,4%,Standard,Hempstead,"S Hempstead, South Hempstead",,
11549,0.2%,Unique,Hempstead,Hofstra Univ,Hoffmeister,
11557,0.6%,Standard,Hewlett,,"Hewlett Bay, Hewlett Bay Park, Hewlett Harbor",
11801,3%,Standard,Hicksville,,,
11096,0.6%,Standard,Inwood,Far Rockaway,Inwood Finance,
11558,0.6%,Standard,Island Park,,"Barnum Island, Harbor Island, Harbor Isle",
11753,0.9%,Standard,Jericho,,Muttontown,
11559,0.6%,Standard,Lawrence,,Meadowmere Park,
11756,3%,Standard,Levittown,,"Island Trees, Plainedge",
11560,0.5%,Standard,Locust Valley,,"Lattingtown, Matinecock",
11561,3%,Standard,Long Beach,"E Atlantc Bch, E Atlantic Beach, East Atlantic Beach, Lido Beach",,
11563,2%,Standard,Lynbrook,,,
11565,0.6%,Standard,Malverne,,,
11030,1%,Standard,Manhasset,Plandome,,
11758,4%,Standard,Massapequa,"N Massapequa, North Massapequa","E Massapequa, East Massapequa",
11762,2%,Standard,Massapequa Park,Massapequa Pk,Bar Harbor,
11566,3%,Standard,Merrick,"N Merrick, North Merrick",,
11765,0.1%,Standard,Mill Neck,,,
11501,1%,Standard,Mineola,,,
11040,3%,Standard,New Hyde Park,"Garden City P, Garden City Park, Hillside Manor, Hillside Mnr, Manhasset Hil, Manhasset Hills, N New Hyde Pk, North Hills, North New Hyde Park","Gdn City Park, Herricks, Lake Success, Lakeville Estates, N H P, No New Hyde Park",
11042,0.0%,Standard,New Hyde Park,"N New Hyde Pk, North New Hyde Park",Lake Success,
11572,2%,Standard,Oceanside,"Rockville Centre, Rockville Ctr","Rockville Center, Rvc",
11804,0.4%,Standard,Old Bethpage,,Hicksville,
