ZIP,% of County Population,Type,Primary City,Acceptable Cities,Unacceptable Cities,
11368,1%,Standard,Corona,Flushing,Queens,
10025,1%,Standard,New York,,"Manhattan, Nyc",
10467,1%,Standard,Bronx,,"Allerton, Mosholu, Van Cott, Williamsbridge",
11208,1%,Standard,Brooklyn,,,
11220,1%,Standard,Brooklyn,,,
11226,1%,Standard,Brooklyn,,,
11373,1%,Standard,Elmhurst,Flushing,Queens,
11385,1%,Standard,Ridgewood,"Flushing, Glendale","Fresh Pond, Queens",
10456,1%,Standard,Bronx,,Morrisania,
11207,1%,Standard,Brooklyn,,,
11211,1%,Standard,Brooklyn,,,
11214,1%,Standard,Brooklyn,,,
11219,1%,Standard,Brooklyn,,,
11230,1%,Standard,Brooklyn,,,
11234,1%,Standard,Brooklyn,,,
11236,1%,Standard,Brooklyn,,,
11355,1%,Standard,Flushing,,Queens,
11377,1%,Standard,Woodside,Flushing,Queens,
10002,1.0%,Standard,New York,Knickerbocker,"Manhattan, New York City, Ny, Ny City, Nyc",
10314,1.0%,Standard,Staten Island,,,
10453,1.0%,Standard,Bronx,,,
10458,1.0%,Standard,Bronx,,,
11204,1.0%,Standard,Brooklyn,,,
11206,1.0%,Standard,Brooklyn,,,
11212,1.0%,Standard,Brooklyn,,,
11221,1.0%,Standard,Brooklyn,,,
11223,1.0%,Standard,Brooklyn,,,
11229,1.0%,Standard,Brooklyn,,,
11235,1.0%,Standard,Brooklyn,,,
10029,0.9%,Standard,New York,,"Manhattan, Nyc",
10452,0.9%,Standard,Bronx,,"Highbridge, Stadium, University Heights",
10457,0.9%,Standard,Bronx,,,
10462,0.9%,Standard,Bronx,,,
10468,0.9%,Standard,Bronx,,Jerome,
11203,0.9%,Standard,Brooklyn,,,
11218,0.9%,Standard,Brooklyn,,,
10009,0.8%,Standard,New York,,"Manhattan, Nyc, Peter Stuyvesant",
10463,0.8%,Standard,Bronx,,"Riverdale, Spuyten Duyvil",
10466,0.8%,Standard,Bronx,,Wakefield,
10469,0.8%,Standard,Bronx,,"Baychester, Esplanade, Hillside",
10472,0.8%,Standard,Bronx,,,
11209,0.8%,Standard,Brooklyn,,,
11210,0.8%,Standard,Brooklyn,,,
11213,0.8%,Standard,Brooklyn,,,
11215,0.8%,Standard,Brooklyn,,,
11233,0.8%,Standard,Brooklyn,,,
11372,0.8%,Standard,Jackson Heights,"Flushing, Jackson Hts",Queens,
11375,0.8%,Standard,Forest Hills,Flushing,"Forest Hls, Parkside, Queens",
10003,0.7%,Standard,New York,,"Cooper, Manhattan",
10016,0.7%,Standard,New York,,"Manhattan, Nyc",
10023,0.7%,Standard,New York,,"Manhattan, Nyc",
10024,0.7%,Standard,New York,,"Manhattan, Nyc, Planetarium",
10027,0.7%,Standard,New York,,"Manhattan, Manhattanville, Ny City, Nyc",
10031,0.7%,Standard,New York,,"Hamilton Grange, Manhattan, Nyc",
10032,0.7%,Standard,New York,,"Manhattan, Nyc",
10033,0.7%,Standard,New York,,"Manhattan, Nyc, Washington Bridge",
10128,0.7%,Standard,New York,,"Manhattan, Ny, Nyc",
10306,0.7%,Standard,Staten Island,,,
10312,0.7%,Standard,Staten Island,,,
10460,0.7%,Standard,Bronx,,"Crotona Park, West Farms",
10473,0.7%,Standard,Bronx,,,
11216,0.7%,Standard,Brooklyn,,,
11225,0.7%,Standard,Brooklyn,,,
11354,0.7%,Standard,Flushing,,"Linden Hill, Queens",
11432,0.7%,Standard,Jamaica,,"Jamaica Est, Queens",
11434,0.7%,Standard,Jamaica,"Addisleigh Park, Addisleigh Pk, Rochdale Vill, Rochdale Village","Queens, Rochdale",
11435,0.7%,Standard,Jamaica,Briarwood,Queens,
11691,0.7%,Standard,Far Rockaway,,Queens,
10011,0.6%,Standard,New York,,,
10028,0.6%,Standard,New York,,"Manhattan, Nyc",
10451,0.6%,Standard,Bronx,,,
10459,0.6%,Standard,Bronx,,"Boulevard, Longwood",
10461,0.6%,Standard,Bronx,,"Morris Park, Pilgrim, Westchester",
11201,0.6%,Standard,Brooklyn,,,
11224,0.6%,Standard,Brooklyn,,,
11237,0.6%,Standard,Brooklyn,,,
11238,0.6%,Standard,Brooklyn,,,
11419,0.6%,Standard,South Richmond Hill,"Jamaica, S Richmond Hl","Queens, S Richmond Hill",
10019,0.5%,Standard,New York,,"Manhattan, Nyc",
10021,0.5%,Standard,New York,,"Manhattan, Nyc",
